Time,symbol,Close,Open,High,Low,Volume
2017-03-27 07:00:00,VNINDEX,723.52,723.23,725.57,721.41,207369580
2017-03-28 07:00:00,VNINDEX,719.26,724.37,725.0,718.66,186623970
2017-03-29 07:00:00,VNINDEX,720.47,719.08,721.92,718.37,172783250
2017-03-30 07:00:00,VNINDEX,723.86,721.87,725.91,721.87,180388070
2017-03-31 07:00:00,VNINDEX,722.31,725.97,726.67,722.31,181949340
2017-04-03 07:00:00,VNINDEX,722.38,723.02,724.37,721.58,177623170
2017-04-04 07:00:00,VNINDEX,724.14,723.7,724.67,722.79,187134630
2017-04-05 07:00:00,VNINDEX,723.22,724.89,726.03,722.49,196707340
2017-04-07 07:00:00,VNINDEX,727.95,721.85,727.95,720.28,189771920
2017-04-10 07:00:00,VNINDEX,729.87,728.71,730.9,727.77,144425190
2017-04-11 07:00:00,VNINDEX,731.33,730.15,732.24,730.15,197010310
2017-04-12 07:00:00,VNINDEX,725.58,731.62,732.87,724.48,213521570
2017-04-13 07:00:00,VNINDEX,724.35,725.54,727.34,723.88,168105900
2017-04-14 07:00:00,VNINDEX,718.45,722.47,722.96,714.13,183224860
2017-04-17 07:00:00,VNINDEX,710.83,718.93,721.78,710.83,154510130
2017-04-18 07:00:00,VNINDEX,714.93,708.64,714.93,705.55,156906940
2017-04-19 07:00:00,VNINDEX,716.77,714.87,716.77,714.02,142094700
2017-04-20 07:00:00,VNINDEX,712.66,716.76,716.76,712.66,125260980
2017-04-21 07:00:00,VNINDEX,712.41,712.77,715.08,711.08,132811530
2017-04-24 07:00:00,VNINDEX,709.39,711.6,712.77,709.39,129826020
2017-04-25 07:00:00,VNINDEX,707.58,709.0,709.81,706.04,117943390
2017-04-26 07:00:00,VNINDEX,710.04,706.36,710.04,706.32,134367260
2017-04-27 07:00:00,VNINDEX,716.53,711.74,716.53,711.38,163516320
2017-04-28 07:00:00,VNINDEX,717.73,715.9,718.54,713.83,175317340
2017-05-03 07:00:00,VNINDEX,719.54,718.7,719.54,716.66,169302120
2017-05-04 07:00:00,VNINDEX,722.02,717.98,723.22,717.98,199862840
2017-05-05 07:00:00,VNINDEX,720.0,720.39,721.65,719.86,179559890
2017-05-08 07:00:00,VNINDEX,718.86,720.61,720.61,717.98,200765930
2017-05-09 07:00:00,VNINDEX,722.11,717.55,722.11,716.95,208726890
2017-05-10 07:00:00,VNINDEX,724.31,721.94,727.52,721.81,207090219
2017-05-11 07:00:00,VNINDEX,724.99,724.84,726.82,723.39,184549470
2017-05-12 07:00:00,VNINDEX,725.37,724.63,726.4,724.41,176373637
2017-05-15 07:00:00,VNINDEX,725.35,725.25,726.19,723.18,225204780
2017-05-16 07:00:00,VNINDEX,725.03,725.84,727.86,725.03,284360815
2017-05-17 07:00:00,VNINDEX,727.2,724.01,728.01,722.81,198418941
2017-05-18 07:00:00,VNINDEX,726.99,723.8,729.0,723.8,207715300
2017-05-19 07:00:00,VNINDEX,733.82,727.61,733.82,726.79,206013150
2017-05-22 07:00:00,VNINDEX,744.1,738.63,746.87,738.63,239413730
2017-05-23 07:00:00,VNINDEX,740.93,744.32,746.18,740.28,259818180
2017-05-24 07:00:00,VNINDEX,742.74,739.91,744.27,737.3,199021090
2017-05-25 07:00:00,VNINDEX,741.91,744.24,746.48,740.89,192545970
2017-05-26 07:00:00,VNINDEX,743.41,741.4,743.46,740.6,182563920
2017-05-29 07:00:00,VNINDEX,746.25,746.08,748.06,745.31,238391340
2017-05-30 07:00:00,VNINDEX,738.21,747.07,747.43,738.21,243929050
2017-05-31 07:00:00,VNINDEX,737.82,738.91,741.93,735.39,186925620
2017-06-01 07:00:00,VNINDEX,741.8,739.45,742.23,738.71,136773790
2017-06-02 07:00:00,VNINDEX,738.81,741.48,742.11,736.09,158389700
2017-06-05 07:00:00,VNINDEX,743.49,739.13,745.14,738.35,157936290
2017-06-06 07:00:00,VNINDEX,751.31,743.99,751.31,743.99,170947990
2017-06-07 07:00:00,VNINDEX,753.46,752.75,754.92,751.65,192345690
2017-06-08 07:00:00,VNINDEX,750.13,751.7,751.96,748.91,177252320
2017-06-09 07:00:00,VNINDEX,749.72,749.46,752.01,749.04,170501090
2017-06-12 07:00:00,VNINDEX,751.09,751.33,753.41,749.0,168761640
2017-06-13 07:00:00,VNINDEX,756.89,752.35,756.89,750.1,161472560
2017-06-14 07:00:00,VNINDEX,760.77,758.26,761.7,756.82,171867720
2017-06-15 07:00:00,VNINDEX,760.57,760.38,762.98,758.17,167145290
2017-06-16 07:00:00,VNINDEX,761.24,761.75,762.43,759.98,197513460
2017-06-19 07:00:00,VNINDEX,766.83,763.75,766.83,762.33,178804100
2017-06-20 07:00:00,VNINDEX,767.99,767.59,768.29,764.42,174082870
2017-06-21 07:00:00,VNINDEX,767.41,765.71,767.83,758.9,192993090
2017-06-22 07:00:00,VNINDEX,766.3,768.41,769.99,766.3,195187930
2017-06-23 07:00:00,VNINDEX,769.01,765.66,769.01,763.64,212981550
2017-06-26 07:00:00,VNINDEX,772.52,770.5,773.14,769.73,212474720
2017-06-27 07:00:00,VNINDEX,767.51,773.15,773.4,767.19,217431160
2017-06-28 07:00:00,VNINDEX,769.04,766.82,769.04,762.78,183664140
2017-06-29 07:00:00,VNINDEX,771.75,771.26,773.08,769.89,198168950
2017-06-30 07:00:00,VNINDEX,776.47,773.46,776.5,773.46,174259020
2017-07-03 07:00:00,VNINDEX,778.88,777.2,780.01,775.53,184646110
